Atividade,CBO,DIT,LOC,Maturidade,Nome,Popularidade,Url,WMC
0,,,,3.0,CS-Notes,124528,https://github.com/CyC2018/CS-Notes,
0,,,,2.0,JavaGuide,100630,https://github.com/Snailclimb/JavaGuide,
0,3.0,1.0,12.0,6.0,java-design-patterns,64905,https://github.com/iluwatar/java-design-patterns,2.0
0,1.0,1.0,26.0,2.0,LeetCodeAnimation,63474,https://github.com/MisterBooo/LeetCodeAnimation,6.0
44,6.0,2.0,26.0,11.0,elasticsearch,54238,https://github.com/elastic/elasticsearch,5.0
89,4.0,1.0,11.0,8.0,spring-boot,54209,https://github.com/spring-projects/spring-boot,2.0
0,,,,2.0,advanced-java,53049,https://github.com/doocs/advanced-java,
0,1.0,1.0,20.0,4.0,interviews,50676,https://github.com/kdn251/interviews,5.0
1,3.0,1.0,33.5,2.0,mall,47715,https://github.com/macrozheng/mall,11.0
215,1.0,1.0,5.0,8.0,RxJava,44396,https://github.com/ReactiveX/RxJava,1.0
32,2.0,1.0,9.0,6.0,guava,40676,https://github.com/google/guava,2.0
0,3.0,1.0,16.0,8.0,okhttp,39671,https://github.com/square/okhttp,3.0
27,3.0,1.0,6.0,10.0,retrofit,37793,https://github.com/square/retrofit,1.0
0,1.0,1.0,26.0,4.0,Java,36154,https://github.com/TheAlgorithms/Java,7.0
29,4.0,1.0,19.0,8.0,dubbo,34899,https://github.com/apache/dubbo,4.0
44,5.0,1.0,25.0,6.0,MPAndroidChart,33020,https://github.com/PhilJay/MPAndroidChart,5.0
0,,,,1.0,GitHub-Chinese-Top-Charts,32171,https://github.com/kon9chunkit/GitHub-Chinese-Top-Charts,
36,4.0,1.0,13.0,7.0,glide,30918,https://github.com/bumptech/glide,3.0
29,4.0,1.0,19.0,4.0,lottie-android,30866,https://github.com/airbnb/lottie-android,5.0
116,2.0,1.0,14.0,4.0,AndroidUtilCode,29050,https://github.com/Blankj/AndroidUtilCode,3.0
116,2.0,1.0,14.0,4.0,AndroidUtilCode,29050,https://github.com/Blankj/AndroidUtilCode,3.0
27,4.0,2.0,31.0,9.0,zxing,27425,https://github.com/zxing/zxing,7.0
0,4.0,1.0,14.0,10.0,netty,26303,https://github.com/netty/netty,3.0
0,1.0,1.0,14.5,3.0,JCSprout,25940,https://github.com/crossoverJie/JCSprout,2.0
0,5.0,1.0,30.0,2.0,ghidra,25835,https://github.com/NationalSecurityAgency/ghidra,6.0
0,1.0,1.0,23.5,0.0,hello-algorithm,25681,https://github.com/geekxh/hello-algorithm,7.0
0,2.0,1.0,8.0,8.0,butterknife,25661,https://github.com/JakeWharton/butterknife,1.0
14,3.0,1.0,18.0,8.0,jadx,25531,https://github.com/skylot/jadx,2.0
49,4.0,1.0,36.5,3.0,proxyee-down,25498,https://github.com/proxyee-down-org/proxyee-down,6.0
0,3.0,1.0,14.0,7.0,tutorials,25309,https://github.com/eugenp/tutorials,3.0
33,3.0,1.0,24.0,2.0,arthas,25138,https://github.com/alibaba/arthas,6.0
0,4.0,1.0,7.0,4.0,spring-boot-examples,25127,https://github.com/ityouknow/spring-boot-examples,2.0
30,4.0,1.0,17.0,5.0,apollo,24157,https://github.com/ctripcorp/apollo,4.0
41,5.0,2.0,20.0,9.0,druid,23554,https://github.com/alibaba/druid,2.0
5,3.0,1.0,10.0,8.0,EventBus,23256,https://github.com/greenrobot/EventBus,2.0
81,2.0,1.0,12.0,9.0,fastjson,23160,https://github.com/alibaba/fastjson,2.0
8,3.0,1.0,8.0,3.0,SmartRefreshLayout,22340,https://github.com/scwang90/SmartRefreshLayout,1.0
191,3.0,1.0,13.0,4.0,BaseRecyclerViewAdapterHelper,21663,https://github.com/CymChad/BaseRecyclerViewAdapterHelper,3.0
79,2.0,1.0,8.0,8.0,Hystrix,21285,https://github.com/Netflix/Hystrix,2.0
13,4.0,1.0,17.0,2.0,jeecg-boot,21198,https://github.com/zhangdaiscott/jeecg-boot,3.0
0,4.0,1.0,7.0,3.0,spring-boot-demo,21089,https://github.com/xkcoding/spring-boot-demo,1.0
0,2.0,1.0,20.0,3.0,vhr,20749,https://github.com/lenve/vhr,7.0
27,4.0,1.0,17.0,8.0,selenium,20419,https://github.com/SeleniumHQ/selenium,3.0
0,5.0,1.0,19.0,9.0,Signal-Android,20155,https://github.com/signalapp/Signal-Android,4.0
0,,,,2.0,toBeTopJavaer,20008,https://github.com/hollischuang/toBeTopJavaer,
124,5.0,1.0,19.0,5.0,dbeaver,19695,https://github.com/dbeaver/dbeaver,4.0
0,3.0,1.0,13.0,2.0,miaosha,19647,https://github.com/qiurunze123/miaosha,3.0
18,1.0,1.0,6.0,6.0,RxAndroid,19357,https://github.com/ReactiveX/RxAndroid,1.0
0,2.0,1.0,7.0,6.0,gson,19344,https://github.com/google/gson,1.0
1,5.0,1.0,16.0,3.0,easyexcel,19268,https://github.com/alibaba/easyexcel,4.0
30,6.0,1.0,25.0,2.0,seata,19023,https://github.com/seata/seata,7.0
0,4.0,1.0,10.0,2.0,SpringAll,18920,https://github.com/wuyouzhuguli/SpringAll,2.0
82,3.0,1.0,23.0,6.0,hutool,18396,https://github.com/dromara/hutool,5.0
68,5.0,1.0,13.0,3.0,halo,18391,https://github.com/halo-dev/halo,3.0
0,4.0,1.0,23.0,9.0,kafka,18355,https://github.com/apache/kafka,5.0
20,4.0,1.0,26.0,8.0,canal,18251,https://github.com/alibaba/canal,6.0
7,4.0,1.0,27.0,8.0,libgdx,18217,https://github.com/libgdx/libgdx,5.0
21,5.0,1.0,18.0,3.0,spring-cloud-alibaba,18076,https://github.com/alibaba/spring-cloud-alibaba,3.0
7,3.5,1.0,12.0,7.0,picasso,17918,https://github.com/square/picasso,3.0
30,3.0,1.0,31.0,5.0,xxl-job,17672,https://github.com/xuxueli/xxl-job,7.0
5,3.0,1.0,14.0,8.0,PhotoView,17590,https://github.com/Baseflow/PhotoView,3.0
8,5.0,1.0,24.0,6.0,ExoPlayer,17451,https://github.com/google/ExoPlayer,5.0
91,4.0,2.0,15.0,10.0,jenkins,17088,https://github.com/jenkinsci/jenkins,3.0
3,2.0,1.0,14.0,2.0,DoraemonKit,17053,https://github.com/didi/DoraemonKit,3.0
36,3.0,1.0,20.0,2.0,nacos,16855,https://github.com/alibaba/nacos,4.0
0,3.0,1.0,28.5,9.0,Android-Universal-Image-Loader,16799,https://github.com/nostra13/Android-Universal-Image-Loader,5.0
